"","date","powerdry","powerhumid","stdpowerwind","powerall","cape","cape_virt","pm10_mean","pm10_std","pm10_nbValues"
"274",1991-08-28,443,448,0.53,894.57,1924.93,2166.93,"20,91","6,56",11
"275",1991-08-30,615,1334,1.14,1950.4,1150.48,1383.3,"53",NA,1
"276",1991-08-31,623,958,0.5,1583.36,1759.09,2016.85,"23","0",2
"277",1991-09-06,618,1915,0.47,2534.73,1174.7,1372.28,"56,25","7,72",4
"278",1991-09-07,546,3958,0.41,4505.17,0,0,"35",NA,1
"279",1991-09-08,669,3545,0.39,4216.17,982.77,1244.43,"26","2,83",2
"280",1991-09-09,364,1176,0.44,1542.22,2239.86,2541.72,"26,1","7,23",10
"281",1991-09-11,880,1315,0.52,2196.45,1178.14,1391.42,"44",NA,1
"282",1991-09-13,640,2724,0.76,3369.5,1060.97,1338.74,"51",NA,1
"283",1991-09-14,623,1463,0.5,2089.64,724.34,984.88,"66,5","2,12",2
"284",1991-09-15,648,2602,1.41,3252,908.8,1217.79,"32,56","3,97",9
"285",1991-09-16,530,522,0.33,1055.89,1803.08,2001.23,"39","1,41",2
"286",1991-09-19,659,1696,0,2358,1040.73,1251.08,"63",NA,1
"287",1991-09-20,497,569,0.74,1069.62,1541.08,1740.78,"45,5","9,19",2
"288",1991-09-21,533,561,0.47,1097.71,2451.28,2677.66,"34,89","4,81",9
"289",1991-09-22,555,872,0.49,1429.71,1099.6,1228.89,"51,5","2,12",2
"290",1991-09-23,601,2120,0.9,2725.14,1613.63,1868.39,"53",NA,1
"291",1991-09-24,595,2168,0.44,2765.22,330.04,541.5,"44,25","16,7",4
"292",1991-09-25,528,1559,0.84,2089.5,0,0,"29",NA,1
"293",1991-09-26,579,1564,0.28,2144.08,2034.76,2304.67,"40,5","7,78",2
"294",1991-09-27,433,1030,0.46,1464.75,1702.18,1941.7,"26,67","7,76",9
"295",1991-09-28,569,358,0.52,929.5,2763.68,3009.06,"38","0",2
"296",1991-09-29,718,1218,0.38,1939.86,1630.16,1801.29,"38","2,83",2
"297",1991-10-01,668,1788,0.5,2458.67,2556.73,2788.34,"40,5","2,12",2
"298",1991-10-02,602,2731,0.29,3335.08,1040.54,1284.13,"32",NA,1
"299",1991-10-03,629,558,0.63,1189,2205.4,2387.48,"24,91","6,09",11
"300",1991-10-04,599,713,0,1313,1446.77,1675.73,"33",NA,1
"301",1991-10-05,535,371,0.46,906.75,967.25,1170.43,"28","14,14",2
"302",1991-10-14,454,688,0.71,1142.67,1895.86,2106.43,"30,5","6,36",2
"303",1991-10-16,585,950,0.52,1536.62,1458.79,1698.41,"26,5","9,19",2
"304",1991-10-18,378,705,0.32,1084.9,1540.18,1714.39,"29,33","3,21",3
"305",1991-10-19,572,1104,0,1677,1656.42,1881.73,"23,5","3,54",2
"306",1991-10-20,644,1919,0,2564,1694.18,1946.66,"18",NA,1
"307",1991-10-21,588,939,0,1529,1849.92,2078,"21,36","5,94",11
"308",1991-10-22,565,1206,0,1773,1985.19,2243.71,"35",NA,1
"309",1991-10-24,608,1131,0.47,1741.27,2045.33,2279.46,"27","1,41",2
"310",1991-10-25,682,1074,0.57,1758.1,2075.89,2323.5,"31","4,24",2
"311",1991-10-26,570,1100,0.44,1670.77,2321.28,2576.5,"21",NA,1
"312",1991-10-29,524,2237,0.33,2762.11,1211.46,1481.62,"33","9,9",2
"313",1991-10-30,591,585,0.53,1176.44,1215.71,1413.7,"32","2,83",2
"314",1991-10-31,567,865,0,1433,1295.86,1497.68,"45,5","16,26",2
"315",1991-11-02,611,1502,0,2115,1474.33,1695.96,"19,2","6,68",10
"316",1991-11-03,559,433,0.35,993.12,1826.62,2009.16,"17",NA,1
"317",1991-11-04,240,512,0,755,475.43,616.63,"31","2,83",2
"318",1991-11-05,391,716,0.5,1110.33,1923.97,2140.28,"32","4,24",2
"319",1991-11-06,433,319,0.82,753.67,1788.54,1968.92,"24",NA,1
"320",1991-11-07,489,1399,0.53,1889.5,1861.68,2099.19,"25",NA,1
"321",1991-11-08,633,1125,0,1759,2260.95,2518.53,"16,09","4,21",11
"322",1991-11-09,691,313,0.49,1005.29,1554.87,1680.36,"20",NA,1
"323",1991-11-10,830,1459,0.47,2291.73,356.81,522.71,"18",NA,1
"324",1991-11-11,819,2321,0.63,3141.8,333.63,445.64,"19,67","5,03",3
"325",1991-11-12,541,2906,0.49,3447.71,238.61,433.71,"24",NA,1
"326",1991-11-13,580,268,0.53,849.44,601.68,778.7,"33",NA,1
"327",1991-11-14,489,546,0.35,1035.88,1207.89,1416.2,"20","6,32",5
"328",1991-11-16,470,302,0.88,772.9,363.3,448.04,"20",NA,1
"329",1991-11-17,538,345,0.52,884.33,1749.78,1916.62,"36","29,7",2
"330",1991-11-18,421,368,0.44,790.22,1190.96,1370.08,"36","5,66",2
"331",1991-11-19,678,1017,0.5,1697.64,1704.1,1918.14,"27",NA,1
"332",1991-11-21,564,212,0.53,777.57,1240.3,1354.1,"28",NA,1
