date,aot1020
2012-02-17,0.0517028421
2012-02-18,0.0199412093
2012-02-19,0.0267095814
2012-02-20,0.0222694444
2012-02-21,0.0401891667
2012-02-22,0.0425403333
2012-02-23,0.0566541622
2012-02-24,0.0536302500
2012-02-25,0.0869427692
2012-02-26,0.0960599032
2012-02-27,0.1064205714
2012-02-28,0.1081032222
2012-02-29,0.0963463333
2012-03-01,0.0694330000
2012-03-02,0.0939766667
2012-03-03,0.0840005714
2012-03-04,0.0934881818
2012-03-05,0.0778412000
2012-03-06,0.1448773529
2012-03-07,0.1477194706
2012-03-08,0.0811393667
2012-03-09,0.1261260000
2012-03-10,0.1885320000
2012-03-12,0.0860973333
2012-03-13,0.0531396571
2012-03-14,0.0636777692
2012-03-15,0.0809290000
2012-03-16,0.1389693636
2012-03-17,1.4930170000
2012-03-18,0.2412510000
2012-03-20,0.1520965000
2012-04-10,0.0459463182
2012-04-11,0.0691458333
2012-04-12,0.0805604667
2012-04-13,0.0705226000
2012-04-14,0.0504242222
2012-04-15,0.0402960000
2012-04-16,0.0998844286
2012-04-19,0.0282259091
2012-04-20,0.0238996667
2012-04-22,0.0533282632
2012-04-23,0.0770004667
2012-04-24,0.0706390000
2012-04-26,0.0381735000
2012-04-27,0.0460974615
2012-04-28,0.0619008095
2012-04-29,0.0779151000
2012-04-30,0.0848547778
2012-05-05,0.2470775000
2012-05-08,0.1740720000
2012-05-09,0.0677332500
2012-05-11,0.2283280000
2012-05-12,0.5176235000
2012-05-14,0.2486228182
2012-05-15,0.0877853750
2012-05-16,0.0638208000
2012-05-17,0.0724100000
2012-05-18,0.1710410000
2012-05-19,0.2403842500
2012-05-20,0.1411620769
2012-05-21,0.1936400800
2012-05-22,0.1695999600
