nbdates	date	aot_440_daily	angstrom440_870	angstrom440_675
23	2012-01-09	0.0859700000	0.1638928696	0.3413010435
17	2012-01-10	0.0824641176	0.1838088235	0.3674357647
35	2012-01-11	0.0712968000	0.4738296571	0.7384113429
19	2012-01-15	0.1425186316	0.0516072105	0.1715983684
21	2012-01-16	0.0869897619	0.1407250000	0.3080669524
16	2012-01-17	0.0890054375	0.1570713750	0.3385175625
22	2012-01-18	0.0899345909	0.2123509545	0.4057240909
23	2012-01-19	0.0873462609	0.1531898261	0.3359664783
20	2012-01-20	0.1109612000	0.0996983500	0.2627460000
12	2012-01-23	0.0976401667	0.2315477500	0.4399895833
30	2012-01-24	0.0698402667	0.2951428000	0.5545298333
37	2012-01-25	0.0550901081	0.3645190270	0.6712469459
21	2012-01-30	0.1148738095	0.1792350952	0.3079452857
31	2012-01-31	0.0781319355	0.1534466774	0.3019921935
14	2012-02-01	0.0782157857	0.1045452143	0.2771253571
17	2012-02-04	0.0988785882	0.1292598235	0.3029271176
17	2012-02-05	0.1109147647	0.1343558235	0.2962866471
36	2012-02-09	0.0870651389	0.2312840556	0.4355838333
12	2012-02-11	0.0931221667	0.1097409167	0.2678175833
36	2012-02-12	0.0805076389	0.0948273333	0.3122935556
27	2012-02-13	0.0741130370	0.2181610741	0.4325245185
28	2012-02-14	0.0673199286	0.2582330000	0.5099120714
32	2012-02-16	0.1025968125	0.1880553125	0.3322986563
29	2012-02-17	0.0650945862	0.3082547586	0.5145930000
33	2012-02-18	0.0500184848	0.4867782727	0.7411058788
17	2012-02-20	0.0545751765	0.4549177647	0.6492442941
16	2012-02-21	0.0716956875	0.3651306250	0.5604355625
12	2012-03-03	0.3269248333	0.3765057500	0.4314780000
12	2012-03-04	0.1412093333	0.1512662500	0.2560474167
14	2012-03-08	0.3208156429	0.2032325714	0.2292317143
15	2012-03-17	0.1843502667	0.1859199333	0.3397589333
13	2012-03-24	0.4365896923	0.2655580769	0.3219096154
12	2012-03-26	0.5241266667	0.2164656667	0.2289511667
23	2012-03-28	0.4680634348	0.2549602174	0.2859404348
15	2012-03-29	0.3523765333	0.2480671333	0.2856982667
